"Race","Age","Fertility"
"Total",0,0
"Total",1,0
"Total",2,0
"Total",3,0
"Total",4,0
"Total",5,0
"Total",6,0
"Total",7,0
"Total",8,0
"Total",9,0
"Total",10,0
"Total",11,0
"Total",12,0
"Total",13,0
"Total",14,0
"Total",15,0.06455607125
"Total",16,0.06455607125
"Total",17,0.06455607125
"Total",18,0.06455607125
"Total",19,0.06455607125
"Total",20,0.1141764538
"Total",21,0.1141764538
"Total",22,0.1141764538
"Total",23,0.1141764538
"Total",24,0.1141764538
"Total",25,0.1036892042
"Total",26,0.1036892042
"Total",27,0.1036892042
"Total",28,0.1036892042
"Total",29,0.1036892042
"Total",30,0.07443652829
"Total",31,0.07443652829
"Total",32,0.07443652829
"Total",33,0.07443652829
"Total",34,0.07443652829
"Total",35,0.03794249189
"Total",36,0.03794249189
"Total",37,0.03794249189
"Total",38,0.03794249189
"Total",39,0.03794249189
"Total",40,0.009754300712
"Total",41,0.009754300712
"Total",42,0.009754300712
"Total",43,0.009754300712
"Total",44,0.009754300712
"Total",45,0.000760673196
"Total",46,0.000760673196
"Total",47,0.000760673196
"Total",48,0.000760673196
"Total",49,0.000760673196
"Total",50,0
"Total",51,0
"Total",52,0
"Total",53,0
"Total",54,0
"Total",55,0
"Total",56,0
"Total",57,0
"Total",58,0
"Total",59,0
"Total",60,0
"Total",61,0
"Total",62,0
"Total",63,0
"Total",64,0
"Total",65,0
"Total",66,0
"Total",67,0
"Total",68,0
"Total",69,0
"Total",70,0
"Total",71,0
"Total",72,0
"Total",73,0
"Total",74,0
"Total",75,0
"Total",76,0
"Total",77,0
"Total",78,0
"Total",79,0
"Total",80,0
"Total",81,0
"Total",82,0
"Total",83,0
"Total",84,0
"Total",85,0
"Total",86,0
"Total",87,0
"Total",88,0
"Total",89,0
"Total",90,0
"Total",91,0
"Total",92,0
"Total",93,0
"Total",94,0
"Total",95,0
"Total",96,0
"Total",97,0
"Total",98,0
"Total",99,0
"Total",100,0
